,county,clid,hhid,resid,eatype,strat,hhsize,ctry_adq,padqnfitems,padqeduc,padqrent,padqegy,padqexp,padqfdcons,pl_abs,pl_food,pdeflator,weight,weight_pop,weight_adq
0,Mombasa,140.0,1.0,Urban,Urban,12,3,2.299999952316284,5641.012,270.09448,785.2006,226.83572,10294.874,3371.731,5995.902,2551.1006,0.99669904,761.2308240827987,2283.6924,1750.8308
1,Mombasa,140.0,2.0,Urban,Urban,12,3,2.239999994635582,1982.5529,318.4884,583.14777,322.97415,6330.5884,3123.425,5995.902,2551.1006,0.9952145,761.2308240827987,2283.6924,1705.157
2,Mombasa,140.0,3.0,Urban,Urban,12,1,1.0,362.65182,0.0,676.9501,77.36572,11615.3545,10498.387,5995.902,2551.1006,1.0340496,761.2308240827987,761.23083,761.23083
3,Mombasa,140.0,4.0,Urban,Urban,12,2,2.0,2193.7952,155.35526,398.24042,537.6246,7073.1494,3788.1343,5995.902,2551.1006,1.0044184,761.2308240827987,1522.4617,1522.4617
4,Mombasa,140.0,5.0,Urban,Urban,12,3,2.239999994635582,1213.1667,112.202385,497.14285,323.97144,3895.0674,1748.5841,5995.902,2551.1006,1.0775862,761.2308240827987,2283.6924,1705.157
5,Mombasa,140.0,6.0,Urban,Urban,12,4,2.479999989271164,6430.244,328.635,597.51825,804.6579,12000.229,3839.1724,5995.902,2551.1006,1.0122515,761.2308240827987,3044.9233,1887.8524
6,Mombasa,140.0,7.0,Urban,Urban,12,7,7.0,1001.1338,981.2593,601.0536,111.52389,3449.7542,754.7837,5995.902,2551.1006,1.009393,761.2308240827987,5328.6157,5328.6157
7,Mombasa,140.0,8.0,Urban,Urban,12,4,3.299999952316284,2878.5405,478.02142,263.1673,200.00713,7321.7036,3501.9673,5995.902,2551.1006,1.1514741,761.2308240827987,3044.9233,2512.0618
8,Mombasa,240.0,1.0,Urban,Urban,12,2,2.0,1551.358,0.0,1979.1168,630.16626,10211.06,6050.4185,5995.902,2551.1006,0.9283264,691.8631551818647,1383.7263,1383.7263
9,Mombasa,240.0,2.0,Urban,Urban,12,4,3.649999976158142,1475.6481,5.2828503,253.57681,135.66359,3038.8525,1168.6815,5995.902,2551.1006,1.0804324,691.8631551818647,2767.4526,2525.3005
10,Mombasa,240.0,3.0,Urban,Urban,12,1,1.0,315.27313,0.0,832.9176,300.94254,8755.127,7305.993,5995.902,2551.1006,0.96363914,691.8631551818647,691.86316,691.86316
11,Mombasa,240.0,4.0,Urban,Urban,12,1,1.0,328.3919,0.0,1165.8884,0.0,10417.185,8922.904,5995.902,2551.1006,1.029258,691.8631551818647,691.86316,691.86316
12,Mombasa,240.0,5.0,Urban,Urban,12,5,3.129999965429306,5652.732,0.0,952.25287,415.18225,11630.862,4610.696,5995.902,2551.1006,1.0065252,691.8631551818647,3459.3157,2165.5317
13,Mombasa,240.0,6.0,Urban,Urban,12,1,1.0,1429.3326,0.0,1052.7861,37.157158,5605.8647,3086.5886,5995.902,2551.1006,1.4247909,691.8631551818647,691.86316,691.86316
14,Mombasa,240.0,7.0,Urban,Urban,12,5,5.0,326.29987,0.0,422.5223,51.547718,1999.9652,1199.5953,5995.902,2551.1006,1.1833695,691.8631551818647,3459.3157,3459.3157
15,Mombasa,240.0,8.0,Urban,Urban,12,4,4.0,3016.7644,0.0,797.79614,537.3392,5849.2144,1497.3143,5995.902,2551.1006,1.065435,691.8631551818647,2767.4526,2767.4526
16,Mombasa,240.0,9.0,Urban,Urban,12,3,2.239999994635582,3051.446,0.0,564.60004,466.8808,7740.614,3657.687,5995.902,2551.1006,1.0279084,691.8631551818647,2075.5894,1549.7734
17,Mombasa,240.0,10.0,Urban,Urban,12,2,2.0,5837.227,0.0,897.45966,1411.006,16637.283,8491.591,5995.902,2551.1006,1.0028306,691.8631551818647,1383.7263,1383.7263
18,Mombasa,343.0,1.0,Urban,Urban,12,2,2.0,2003.9652,0.0,1067.8052,452.7494,6562.3027,3037.7832,5995.902,2551.1006,1.1706256,619.1212958675998,1238.2426,1238.2426
19,Mombasa,343.0,2.0,Urban,Urban,12,3,3.0,3171.0596,0.0,830.3481,385.2815,8633.856,4247.1675,5995.902,2551.1006,1.0035952,619.1212958675998,1857.3639,1857.3639
