,clid,hhid,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10_m,r10_y,r11,r12,r13
0,1.0,1.0,Yes,Yes,1.0,EDUCATION LOAN,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,10000.0,,10.0,,6.0,4000.0,Shares  
1,1.0,2.0,Yes,Yes,1.0,LOAN,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,10000.0,21.0,10.0,,5.0,0.0,Shares  
2,1.0,4.0,Yes,Yes,1.0,LOAN,1.0, Self-Help Groups/Chamas  ,Purchase/Construction of Dwelling  ,4000.0,2.0,10.0,,4.0,0.0,Shares  
3,1.0,6.0,Yes,Yes,1.0,,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,20000.0,7.0,,10.0,12.0,0.0,Livestock  
4,2.0,3.0,Yes,Yes,1.0,MONEY,1.0, Merchant/Shop  ,School Fees (Education)  ,20000.0,2.0,0.0,0.0,10.0,2000.0,None 
5,4.0,2.0,Yes,Yes,1.0,SIMU,1.0, Mobile Phone Platform  ,Subsistence Needs  ,5200.0,0.0,3.8,0.0,1.0,5200.0,Other  
6,4.0,3.0,Yes,Yes,1.0,CHAMA,2.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,25000.0,7.0,0.0,12.0,6.0,1350.0,Shares  
7,4.0,5.0,Yes,Yes,1.0,BANK,1.0, Commercial Banks  ,School Fees (Education)  ,100000.0,10.0,1.2,0.0,24.0,75000.0,Household Goods 
8,4.0,5.0,Yes,Yes,2.0,CHAMA,2.0, Self-Help Groups/Chamas  ,Business/Investment   ,15000.0,7.0,1.0,0.0,12.0,6000.0,Shares  
9,4.0,8.0,Yes,Yes,1.0,SACCO,1.0, Saccos  ,School Fees (Education)  ,200000.0,30.0,0.0,12.0,36.0,150000.0,Shares  
10,4.0,8.0,Yes,Yes,2.0,CHAMA,2.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,60000.0,30.0,0.0,10.0,24.0,35000.0,Shares  
