,clid,hhid,r01,r17,r18_1,r18_2
0,1.0,3.0,No,1.0,A,
1,1.0,5.0,No,5.0,J,
2,1.0,5.0,No,2.0,I,
3,1.0,5.0,No,1.0,E,
4,1.0,5.0,No,3.0,I,
5,1.0,5.0,No,6.0,J,
6,1.0,5.0,No,4.0,I,
7,1.0,7.0,No,1.0,A,G
8,1.0,7.0,No,3.0,I,
9,1.0,7.0,No,2.0,E,
10,1.0,8.0,No,3.0,I,
11,1.0,8.0,No,2.0,A,
12,1.0,8.0,No,1.0,E,
13,1.0,9.0,No,3.0,I,
14,1.0,9.0,No,2.0,I,
15,1.0,9.0,No,5.0,I,
16,1.0,9.0,No,1.0,A,
17,1.0,9.0,No,4.0,I,
18,1.0,10.0,No,1.0,A,
19,1.0,10.0,No,2.0,G,
20,1.0,10.0,No,3.0,J,
21,2.0,1.0,No,1.0,E,
22,2.0,1.0,No,2.0,E,
23,2.0,2.0,No,1.0,C,
24,2.0,4.0,No,1.0,C,
25,2.0,5.0,No,1.0,B,
26,2.0,5.0,No,5.0,J,
27,2.0,5.0,No,3.0,I,
28,2.0,5.0,No,4.0,J,
29,2.0,5.0,No,2.0,E,
30,2.0,6.0,No,4.0,I,
31,2.0,6.0,No,1.0,G,
32,2.0,6.0,No,3.0,I,
33,2.0,6.0,No,2.0,E,
34,2.0,7.0,No,1.0,G,
35,2.0,7.0,No,2.0,G,
36,3.0,1.0,No,3.0,I,
37,3.0,1.0,No,6.0,A,
38,3.0,1.0,No,2.0,D,
39,3.0,1.0,No,9.0,J,
40,3.0,1.0,No,1.0,E,
41,3.0,1.0,No,4.0,I,
42,3.0,1.0,No,5.0,I,
43,3.0,1.0,No,10.0,J,
44,3.0,1.0,No,8.0,A,
45,3.0,1.0,No,7.0,A,
46,3.0,2.0,No,1.0,D,E
47,3.0,2.0,No,5.0,E,
48,3.0,2.0,No,7.0,I,
49,3.0,2.0,No,8.0,I,J
50,3.0,2.0,No,4.0,E,
51,3.0,2.0,No,2.0,E,C
52,3.0,2.0,No,3.0,E,D
53,3.0,2.0,No,10.0,J,I
54,3.0,2.0,No,9.0,I,J
55,3.0,2.0,No,6.0,I,
56,4.0,1.0,No,3.0,I,
57,4.0,1.0,No,4.0,I,
58,4.0,1.0,No,2.0,C,
59,4.0,1.0,No,7.0,J,
60,4.0,1.0,No,6.0,I,
61,4.0,1.0,No,5.0,I,
62,4.0,1.0,No,1.0,A,
63,4.0,4.0,No,1.0,E,
64,4.0,6.0,No,2.0,A,C
65,4.0,6.0,No,1.0,A,C
66,4.0,7.0,No,2.0,I,
67,4.0,7.0,No,3.0,I,
68,4.0,7.0,No,1.0,G,
69,5.0,2.0,No,4.0,J,
70,5.0,2.0,No,2.0,C,A
71,5.0,2.0,No,1.0,G,
72,5.0,2.0,No,3.0,J,
73,5.0,4.0,No,4.0,J,
74,5.0,4.0,No,3.0,J,
75,5.0,4.0,No,2.0,X,
76,5.0,4.0,No,1.0,X,
77,5.0,6.0,No,5.0,A,
78,5.0,6.0,No,3.0,J,
79,5.0,6.0,No,1.0,A,
80,5.0,6.0,No,2.0,I,
81,5.0,6.0,No,4.0,J,
82,6.0,1.0,No,1.0,C,
83,6.0,2.0,No,1.0,A,
84,6.0,3.0,No,1.0,A,
85,6.0,4.0,No,3.0,C,
86,6.0,4.0,No,5.0,J,I
87,6.0,4.0,No,4.0,I,
88,6.0,4.0,No,2.0,A,
89,6.0,4.0,No,1.0,A,
90,6.0,4.0,No,6.0,J,
91,6.0,6.0,No,3.0,I,
92,6.0,6.0,No,2.0,A,
93,6.0,6.0,No,5.0,I,
94,6.0,6.0,No,1.0,A,
95,6.0,6.0,No,4.0,I,
96,6.0,6.0,No,6.0,J,
97,6.0,7.0,No,4.0,J,
98,6.0,7.0,No,2.0,J,
99,6.0,7.0,No,1.0,C,
100,6.0,7.0,No,3.0,J,
101,6.0,8.0,No,3.0,I,
102,6.0,8.0,No,6.0,I,
103,6.0,8.0,No,7.0,J,
104,6.0,8.0,No,5.0,I,
105,6.0,8.0,No,4.0,I,
106,6.0,8.0,No,1.0,A,
107,6.0,8.0,No,2.0,A,
108,6.0,9.0,No,1.0,C,
109,6.0,9.0,No,6.0,J,
110,6.0,9.0,No,3.0,I,
111,6.0,9.0,No,5.0,J,
112,6.0,9.0,No,4.0,J,
113,6.0,9.0,No,2.0,I,
114,6.0,10.0,No,1.0,A,
115,6.0,10.0,No,5.0,I,
116,6.0,10.0,No,2.0,A,
117,6.0,10.0,No,3.0,J,
118,6.0,10.0,No,4.0,I,
119,7.0,2.0,No,1.0,E,
120,7.0,2.0,No,2.0,E,
121,7.0,3.0,No,2.0,G,
122,7.0,3.0,No,1.0,G,
123,7.0,4.0,No,1.0,C,
124,7.0,4.0,No,2.0,C,
125,9.0,1.0,No,2.0,A,
126,9.0,1.0,No,1.0,A,
127,9.0,1.0,No,3.0,I,
128,9.0,1.0,No,4.0,I,
129,9.0,2.0,No,3.0,I,
130,9.0,2.0,No,1.0,A,
131,9.0,2.0,No,2.0,A,
132,9.0,2.0,No,4.0,I,
133,9.0,3.0,No,1.0,A,
134,9.0,4.0,No,1.0,A,
135,9.0,5.0,No,2.0,A,
136,9.0,5.0,No,1.0,A,
137,9.0,6.0,No,4.0,A,
138,9.0,6.0,No,5.0,A,
139,9.0,6.0,No,3.0,A,
140,9.0,6.0,No,1.0,G,
141,9.0,6.0,No,2.0,A,
142,9.0,7.0,No,5.0,I,
143,9.0,7.0,No,7.0,I,
144,9.0,7.0,No,4.0,I,
145,9.0,7.0,No,9.0,A,
146,9.0,7.0,No,1.0,A,
147,9.0,7.0,No,3.0,A,
148,9.0,7.0,No,2.0,A,
149,9.0,7.0,No,8.0,I,
150,9.0,7.0,No,6.0,I,
151,9.0,8.0,No,2.0,A,
152,9.0,8.0,No,1.0,A,
153,9.0,8.0,No,3.0,A,
154,9.0,8.0,No,5.0,I,
155,9.0,8.0,No,4.0,I,
156,9.0,8.0,No,6.0,I,
157,9.0,8.0,No,7.0,A,
158,9.0,9.0,No,2.0,C,
159,9.0,9.0,No,4.0,I,
160,9.0,9.0,No,1.0,A,
161,9.0,9.0,No,3.0,I,
162,9.0,10.0,No,6.0,I,
163,9.0,10.0,No,3.0,A,
164,9.0,10.0,No,5.0,I,
165,9.0,10.0,No,2.0,A,
166,9.0,10.0,No,4.0,A,
167,9.0,10.0,No,1.0,G,
168,9.0,10.0,No,7.0,I,
169,9.0,10.0,No,8.0,I,
170,10.0,1.0,No,3.0,I,
171,10.0,1.0,No,4.0,I,
172,10.0,1.0,No,1.0,C,
173,10.0,1.0,No,2.0,I,
174,10.0,3.0,No,6.0,J,
175,10.0,3.0,No,2.0,A,
176,10.0,3.0,No,4.0,J,
177,10.0,3.0,No,3.0,J,
178,10.0,3.0,No,1.0,A,
179,10.0,3.0,No,5.0,J,
180,10.0,5.0,No,1.0,C,
181,10.0,5.0,No,2.0,I,J
182,10.0,7.0,No,1.0,A,
183,10.0,7.0,No,2.0,A,
184,10.0,7.0,No,5.0,A,
