,clid,hhid,n01,n02,n_ta,n03_en,n03_co,n05,n06_1,n06_2,n06_3,n06_4,n06_5,n06_6,n06_7,n06_8,n06_9,n06_10,n06_11,n06_12,n07_mo,n07_ks
0,1.0,1.0,Yes,1,1,CHARCOAL BURNING,Kilifi  ,No,0.0,1.0,,,,,,,,,,,4.0,6000.0
1,1.0,4.0,Yes,1,3,SALLING WATER,Kilifi  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15600.0
2,1.0,4.0,Yes,2,3,SALLING FIREWOOD,Kilifi  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14400.0
3,1.0,4.0,Yes,3,3,BAKING WHEAT BURNS,Kilifi  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3000.0
4,1.0,7.0,Yes,1,1,SELLING CHARCOAL,Kilifi  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,60000.0
5,1.0,10.0,Yes,1,1,SALLING VEGETABLE,Kilifi  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36000.0
6,2.0,3.0,Yes,1,1,SHOP,Mandera  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7000.0
7,2.0,6.0,Yes,1,1,SHOP,Mandera  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5000.0
8,4.0,5.0,Yes,1,1,WAMUTHUNGU,Kiambu  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,30000.0
9,5.0,2.0,Yes,1,2,GENERAL SHOPKEEPER,Nakuru  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000.0
10,5.0,2.0,Yes,2,2,VEGETABLE SELLING STAND,Nakuru  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24000.0
11,5.0,5.0,Yes,1,2,DOMINION SHOP,Nakuru  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,250000.0
12,5.0,5.0,Yes,2,2,GEORGE KINYOZI,Nakuru  ,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,240000.0
13,7.0,3.0,Yes,1,1,SALE OF ELECTRONICS,Nairobi City  ,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,300000.0
14,7.0,4.0,Yes,1,1,SANASANA,Nairobi City  ,No,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,35000.0
15,8.0,2.0,Yes,1,2,SALE OF OIL,Nairobi City  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,50000.0
16,8.0,2.0,Yes,2,2,HAWKING,Nairobi City  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20000.0
17,8.0,4.0,Yes,1,1,SHOP,Kiambu  ,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,120000.0
18,9.0,5.0,Yes,1,1,BUSINESS,Meru  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6000.0
19,9.0,7.0,Yes,1,1,SELLING WOOD PLANKS(TIMBER),Meru  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,75600.0
20,10.0,4.0,Yes,1,1,MATATU BUSINESS,Meru  ,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,80000.0
21,10.0,7.0,Yes,1,1,HOTEL,Meru  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3000.0
22,11.0,1.0,Yes,1,1,WAIRIMU'S CLOTHES SHOP,Baringo  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2000.0
23,11.0,5.0,Yes,1,2,SELL OF VEGETABLES,Baringo  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1000.0
24,11.0,5.0,Yes,2,2,HOTEL BUSSINESS,Baringo  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,15000.0
25,11.0,6.0,Yes,1,3,POSHOMILL,Baringo  ,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,60000.0
26,11.0,6.0,Yes,2,3,LODGING,Baringo  ,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,480000.0
27,11.0,6.0,Yes,3,3,DUKA,Baringo  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,60000.0
28,11.0,8.0,Yes,1,1,ADAM SPARES,Baringo  ,No,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24000.0
29,13.0,2.0,Yes,1,1,SALE OF MAIZE,Vihiga  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3000.0
30,13.0,5.0,Yes,1,1,SALE OF RICE,Vihiga  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1800.0
31,13.0,6.0,Yes,1,1,HARDWARE,Vihiga  ,No,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10000.0
32,13.0,8.0,Yes,1,2,RETAIL SHOP FOR FOOD ITEMS,Vihiga  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6000.0
33,13.0,8.0,Yes,2,2,WATER VENDOR,Vihiga  ,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18000.0
34,14.0,1.0,Yes,1,1,MAKING SOAP,Kilifi  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
35,14.0,3.0,Yes,1,1,WEAVING ROPES,Kilifi  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4800.0
36,14.0,6.0,Yes,1,1,SELLING DRIED FISH,Kilifi  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7500.0
37,14.0,7.0,Yes,1,1,MAMA VIAZI,Kilifi  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24000.0
38,14.0,9.0,Yes,1,1,BAR,Kilifi  ,No,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,6000.0
39,15.0,9.0,Yes,1,1,MILK SELLING,Kiambu  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,120000.0
40,16.0,5.0,Yes,1,1,STELLA GROCERY,Kilifi  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,18000.0
41,16.0,8.0,Yes,1,1,HERBAL MEDICINE CLINIC,Kilifi  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24000.0
42,16.0,9.0,Yes,1,1,MAMA SAMOSA,Kilifi  ,No,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,54000.0
43,18.0,4.0,Yes,1,1,ZENA GROCERY,Kilifi  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,15000.0
44,19.0,4.0,Yes,1,2,SCHOOL,Kiambu  ,Yes,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,6.0,360000.0
45,19.0,4.0,Yes,2,2,GAS VENDOR,Kiambu  ,No,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,300000.0
46,19.0,7.0,Yes,1,2,DAIRY FARMING,Kiambu  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42000.0
47,19.0,7.0,Yes,2,2,SHOP,Kiambu  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48,20.0,2.0,Yes,1,1,ZEN LAB,Nakuru  ,Yes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,210000.0
49,20.0,4.0,Yes,1,1,MM LEWIS KIOSK,Nakuru  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14400.0
50,20.0,6.0,Yes,1,1,BODA BODA,Nakuru  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,120000.0
51,20.0,8.0,Yes,1,1,MNK MERCHANTS,Nakuru  ,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,180000.0
52,21.0,4.0,Yes,1,2,OWN KIOSK,Trans Nzoia  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6000.0
53,21.0,4.0,Yes,2,2,KIBANDA,Trans Nzoia  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24000.0
54,21.0,6.0,Yes,1,1,MAMA UJI,Trans Nzoia  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19200.0
55,22.0,1.0,Yes,1,1,PAUL'S RETAIL SHOP,Kitui  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,240000.0
56,22.0,2.0,Yes,1,1,AGNES GROCERY,Kitui  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,54000.0
57,22.0,3.0,Yes,1,1,KALULU'S RETAIL SHOP,Kitui  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,270000.0
58,22.0,4.0,Yes,1,2,HITECH SALON,Kitui  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84000.0
59,22.0,4.0,Yes,2,2,MBITI'S GARAGE,Kitui  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,240000.0
60,22.0,6.0,Yes,1,1,CHARCOAL STORE,Kitui  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18000.0
61,22.0,7.0,Yes,1,1,MOTOR AUTOSPARE,Kitui  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,180000.0
62,22.0,8.0,Yes,1,1,ANNA OUTFITTERS,Kitui  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,30000.0
63,22.0,9.0,Yes,1,1,KINYOZI STIMA,Kitui  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,54000.0
64,24.0,1.0,Yes,1,1,JACKY KIOSK,Vihiga  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6000.0
65,24.0,6.0,Yes,1,1,RETAIL SALES,Vihiga  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3000.0
66,24.0,7.0,Yes,1,2,VUGUTSA,Vihiga  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8000.0
67,24.0,7.0,Yes,2,2,CHANZU,Vihiga  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12000.0
68,24.0,9.0,Yes,1,2,SHOP (UMOJA),Vihiga  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18000.0
69,24.0,9.0,Yes,2,2,MAMA OWEN SHOP,Vihiga  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,54000.0
70,26.0,2.0,Yes,1,1,BODABODA,Embu  ,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15000.0
71,27.0,3.0,Yes,1,1,HELLEN KIOSK,Homa Bay  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6000.0
72,27.0,7.0,Yes,1,1,EMMA PHONE CHARGING,Homa Bay  ,No,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4000.0
73,28.0,6.0,Yes,1,1,MWANAJUMWA ENTERPRISES,Taita/Taveta  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,57600.0
74,28.0,7.0,Yes,1,1,MAMA MWENI HOTEL,Taita/Taveta  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,42000.0
75,28.0,9.0,Yes,1,1,KIOKO SHOP,Taita/Taveta  ,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,50000.0
76,29.0,5.0,Yes,1,1,WA ANGEL ELECTRONICS,Kirinyaga  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000.0
77,30.0,1.0,Yes,1,1,BAR SOAP VENDOR,Kisii  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8000.0
78,30.0,4.0,Yes,1,1,SALON,Kisii  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,70000.0
79,33.0,2.0,Yes,1,1,MAMA NJOKI KIOSK,Nakuru  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000.0
80,33.0,3.0,Yes,1,1,NENTE'S COLLECTION,Nakuru  ,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,360000.0
81,33.0,5.0,Yes,1,1,TAUSI SHOP,Nakuru  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13000.0
82,33.0,6.0,Yes,1,1,BLESSED MPESA,Nakuru  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,90000.0
83,34.0,2.0,Yes,1,1,SALOON,Baringo  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,25000.0
84,34.0,4.0,Yes,1,1,BUTCHERY,Baringo  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20000.0
85,34.0,7.0,Yes,1,1,TAILORING,Baringo  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2000.0
86,36.0,5.0,Yes,1,1,NDOO ENTERPRISES,Makueni  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20000.0
87,39.0,3.0,Yes,1,1,VEGETABLE/FRUIT VENDOR,Kisii  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2000.0
88,40.0,3.0,Yes,1,1,D.K ENTERPRISE,Isiolo  ,No,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,90000.0
89,40.0,5.0,Yes,1,1,F.A CLINIC,Isiolo  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,240000.0
90,41.0,5.0,Yes,1,1,MARY DRESSMAKERS,Nyeri  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,18000.0
91,41.0,6.0,Yes,1,1,PETER'S BODABODA,Nyeri  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30000.0
92,41.0,7.0,Yes,1,2,NKIROTE SHOP,Nyeri  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,120000.0
93,41.0,7.0,Yes,2,2,RICHARD'S GARAGE,Nyeri  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,70000.0
94,41.0,10.0,Yes,1,2,MUNIA SHOP,Nyeri  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90000.0
95,41.0,10.0,Yes,2,2,WAIRIMU SHOP,Nyeri  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,54000.0
96,42.0,5.0,Yes,1,1,SHIMO VEGES,Makueni  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30000.0
