,clid,hhid,qb01,qb02,qb03,qb04,qb05,qb06,qb07_1,qb07_2,qb07_3,qb07_4,qb07_5,qb07_6,qb08_1,qb08_2,qb08_3,qb08_4,qb08_5,qb08_6
0,1.0,6.0,112,Religious/Witchcraft offenses,Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,,0.0,,,0.0,,,0.0,
1,2.0,6.0,109,"Domestic violence (sexual, phy",Yes,Chief/ Assistant Chief,Proximity/location,"No, the matter is still pending",D,Chief/Assistant Chief,0.0,P,None,0.0,D,National Government,0.0,X,Other (Specify),0.0
2,5.0,3.0,112,Religious/Witchcraft offenses,Yes,Directly to the other party,Most comfortable with this person,"Yes, and the matter is resolved",P,None,0.0,,0.0,,,0.0,0.0,,0.0,
3,5.0,3.0,113,Political disagreements/electi,Yes,Directly to the other party,Most comfortable with this person,"Yes, and the matter is resolved",P,None,0.0,,0.0,,,0.0,0.0,,0.0,
4,6.0,9.0,101,"Land (squatters, allocation, t",Yes,National government official,Party has the power/authority,Other,E,Other National Government Official,8000.0,P,None,0.0,D,National Government,0.0,,0.0,0.0
5,7.0,3.0,105,"Criminal matters (murder,sexua",Yes,Other (specify),Proximity/location,"No, the matter is still pending",X,Other (Specify),0.0,,0.0,,X,Other (Specify),0.0,,0.0,
6,7.0,4.0,101,"Land (squatters, allocation, t",Yes,None,,,,,,,,,,,,,,
7,7.0,4.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
8,7.0,4.0,110,Labour (employee/employer disp,Yes,Directly to the other party,Party has community/family respect,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,,0.0,,A,Directly To The Other Party,0.0,,0.0,
9,8.0,1.0,111,Traffic matters,Yes,Police,Party has technical skill,"Yes, and the matter is resolved",L,Police,5000.0,,0.0,0.0,H,Police,4000.0,,0.0,0.0
10,8.0,3.0,110,Labour (employee/employer disp,Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",P,None,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
11,9.0,10.0,105,"Criminal matters (murder,sexua",Yes,Courts,Party has the power/authority,"No, they decided not to rule on the matter",K,Lawyer,30000.0,,0.0,,,0.0,,,0.0,
12,10.0,3.0,111,Traffic matters,Yes,Courts,Party has the power/authority,"No, the matter is still pending",P,None,0.0,,0.0,,,0.0,,,0.0,
13,10.0,10.0,103,Family matters (divorce; pater,Yes,Other (specify),Party has the power/authority,"No, the matter is still pending",A,Directly To The Other Party,1000.0,,0.0,,,0.0,,,0.0,
14,11.0,1.0,102,"Commercial (unpaid debts, unde",Yes,Chief/ Assistant Chief,Proximity/location,"No, they decided not to rule on the matter",P,None,,,0.0,,X,Other (Specify),,,0.0,
15,11.0,1.0,109,"Domestic violence (sexual, phy",Yes,Police,Party has technical skill,"No, they decided not to rule on the matter",P,None,,,0.0,,X,Other (Specify),,,0.0,
16,11.0,1.0,112,Religious/Witchcraft offenses,Yes,Chief/ Assistant Chief,Proximity/location,"Yes, and the matter is resolved",P,None,,,0.0,,X,Other (Specify),,,0.0,
17,11.0,1.0,113,Political disagreements/electi,Yes,Chief/ Assistant Chief,Proximity/location,"Yes, and the matter is resolved",P,None,,,0.0,,X,Other (Specify),,,0.0,
18,13.0,3.0,108,Disputes over personal propert,Yes,Traditional leader/elder,Party has the power/authority,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,P,None,0.0,C,Traditional Leader/Elder,0.0,,0.0,
19,13.0,5.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
