,county,couty,clid,hhid,hhsize,k01,k02,k03,k04,k05,k5x,k06,k07,k08,k09,k10,k11,k12,k13a,k13b,k14,k15,k16,k17_su,k17_sp,k17_dr,k18_1,k18_2,k19,weight
0,Kilifi,Kilifi,1.0,7.0,3,Yes,1.0,2.0,Kilifi  ,1.0,Operated,1.5,No,,,Renting,1500.0,45000.0,No,0.0,No,,,,,,None,None,,878.8666054
1,Kilifi,Kilifi,1.0,8.0,3,Yes,1.0,1.0,Kilifi  ,1.0,Operated,1.0,Yes,None,Freehold,,,45000.0,No,0.0,No,,,,,,Organic,,Own Production,878.8666054
2,Kilifi,Kilifi,1.0,7.0,3,Yes,2.0,2.0,Kilifi  ,1.0,Operated,0.25,Yes,None,Freehold,,,7500.0,No,0.0,No,,,,,,Organic,None,Own Production,878.8666054
3,Kilifi,Kilifi,1.0,5.0,6,Yes,1.0,1.0,Kilifi  ,2.0,Operated,1.5,Yes,None,,,,165000.0,No,0.0,No,,,,,,None,None,,878.8666054
4,Kilifi,Kilifi,1.0,2.0,10,Yes,1.0,1.0,Kilifi  ,1.0,Operated,2.5,Yes,None,Freehold,,,125000.0,No,0.0,No,,,,,,None,None,,878.8666054
5,Kilifi,Kilifi,1.0,9.0,6,Yes,1.0,1.0,Kilifi  ,1.0,Operated,1.5,Yes,None,Freehold,,,75000.0,No,0.0,No,,,,,,Organic,,Own Production,878.8666054
6,Kilifi,Kilifi,1.0,3.0,3,Yes,1.0,1.0,Kilifi  ,1.0,Operated,1.0,Yes,Letters of offer,Freehold,,,50000.0,No,0.0,No,,,,,,Organic,,Other farmers,878.8666054
7,Kilifi,Kilifi,1.0,6.0,7,Yes,1.0,1.0,Kilifi  ,1.0,Operated,3.0,Yes,None,Other (specify),,,90000.0,No,0.0,No,,,,,,Organic,Organic,Own Production,878.8666054
8,Kilifi,Kilifi,1.0,10.0,3,No,,,,,,,,,,,,,,,,,,,,,,,,878.8666054
9,Kilifi,Kilifi,1.0,1.0,5,Yes,1.0,1.0,Kilifi  ,1.0,Operated,3.0,No,,,Renting,6000.0,150000.0,No,0.0,No,,,,,,None,None,,878.8666054
10,Kilifi,Kilifi,1.0,4.0,7,Yes,1.0,1.0,Kilifi  ,1.0,Operated,1.5,Yes,None,Freehold,,,75000.0,No,0.0,No,,,,,,Organic,,Own Production,878.8666054
11,Mandera,Mandera,2.0,6.0,4,No,,,,,,,,,,,,,,,,,,,,,,,,280.2404077
12,Mandera,Mandera,2.0,7.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,280.2404077
13,Mandera,Mandera,2.0,3.0,6,No,,,,,,,,,,,,,,,,,,,,,,,,280.2404077
14,Mandera,Mandera,2.0,5.0,5,No,,,,,,,,,,,,,,,,,,,,,,,,280.2404077
15,Mandera,Mandera,2.0,2.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,280.2404077
16,Mandera,Mandera,2.0,4.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,280.2404077
17,Mandera,Mandera,2.0,1.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,280.2404077
18,Marsabit,Marsabit,3.0,2.0,10,No,,,,,,,,,,,,,,,,,,,,,,,,31.36170695
19,Marsabit,Marsabit,3.0,1.0,10,No,,,,,,,,,,,,,,,,,,,,,,,,31.36170695
20,Kiambu,Kiambu,4.0,7.0,3,No,,,,,,,,,,,,,,,,,,,,,,,,2739.185706
21,Kiambu,Kiambu,4.0,4.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,2739.185706
22,Kiambu,Kiambu,4.0,2.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,2739.185706
23,Kiambu,Kiambu,4.0,1.0,7,No,,,,,,,,,,,,,,,,,,,,,,,,2739.185706
24,Kiambu,Kiambu,4.0,5.0,5,No,,,,,,,,,,,,,,,,,,,,,,,,2739.185706
25,Kiambu,Kiambu,4.0,8.0,5,Yes,1.0,1.0,Kiambu  ,2.0,Operated,1.0,No,,,Renting,1600.0,2000000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Private stockists,2739.185706
26,Kiambu,Kiambu,4.0,3.0,6,No,,,,,,,,,,,,,,,,,,,,,,,,2739.185706
27,Kiambu,Kiambu,4.0,6.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,2739.185706
28,Nakuru,Nakuru,5.0,1.0,4,No,,,,,,,,,,,,,,,,,,,,,,,,1895.151331
29,Nakuru,Nakuru,5.0,2.0,4,No,,,,,,,,,,,,,,,,,,,,,,,,1895.151331
30,Nakuru,Nakuru,5.0,3.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,1895.151331
31,Nakuru,Nakuru,5.0,4.0,4,Yes,1.0,1.0,Nakuru  ,1.0,Operated,4.0,No,,,Renting,16000.0,3000000.0,No,0.0,No,,,,,,Inorganic,NA,Private stockists,1895.151331
32,Nakuru,Nakuru,5.0,5.0,4,No,,,,,,,,,,,,,,,,,,,,,,,,1895.151331
33,Nakuru,Nakuru,5.0,6.0,5,No,,,,,,,,,,,,,,,,,,,,,,,,1895.151331
34,Nandi,Nandi,6.0,2.0,1,Yes,1.0,1.0,Nandi  ,1.0,Operated,0.5,No,,,Renting,1500.0,400000.0,No,0.0,No,,,,,,Inorganic,NA,Private stockists,506.9343015
35,Nandi,Nandi,6.0,1.0,1,Yes,1.0,1.0,Nandi  ,1.0,Operated,0.699999988079071,Yes,Title,Freehold,,,350000.0,No,0.0,No,,,,,,Inorganic,NA,Private stockists,506.9343015
36,Nandi,Nandi,6.0,6.0,6,Yes,1.0,1.0,Nandi  ,1.0,Operated,0.5,Yes,Title,Freehold,,,300000.0,No,0.0,No,,,,,,Organic,NA,Own Production,506.9343015
37,Nandi,Nandi,6.0,10.0,5,Yes,1.0,1.0,Nandi  ,1.0,Operated,0.5,Yes,Title,Freehold,,,100000.0,No,0.0,Yes,Spring,Gravity,500.0,0.0,0.0,Inorganic,NA,Government subsidized,506.9343015
38,Nandi,Nandi,6.0,8.0,7,Yes,1.0,1.0,Nandi  ,1.0,Operated,1.0,Yes,Title,Freehold,,,600000.0,No,0.0,No,,,,,,Inorganic,NA,Government subsidized,506.9343015
39,Nandi,Nandi,6.0,3.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,506.9343015
40,Nandi,Nandi,6.0,9.0,6,Yes,1.0,1.0,Nandi  ,1.0,Operated,0.800000011920929,Yes,Title,Freehold,,,960000.0,No,0.0,No,,,,,,Inorganic,NA,Government subsidized,506.9343015
41,Nandi,Nandi,6.0,5.0,3,Yes,1.0,3.0,Nandi  ,1.0,Operated,0.30000001192092896,Yes,Title,Freehold,,,100000.0,No,0.0,Yes,Spring,Gravity,0.0,1200.0,0.0,Inorganic,NA,Private stockists,506.9343015
42,Nandi,Nandi,6.0,7.0,4,Yes,1.0,1.0,Nandi  ,1.0,Operated,0.20000000298023224,Yes,Title,Freehold,,,120000.0,No,0.0,No,,,,,,Inorganic,,Private stockists,506.9343015
43,Nandi,Nandi,6.0,5.0,3,Yes,3.0,3.0,Nandi  ,1.0,Operated,0.5,No,,,Renting,2500.0,135000.0,No,0.0,No,,,,,,Inorganic,NA,Private stockists,506.9343015
44,Nandi,Nandi,6.0,5.0,3,Yes,2.0,3.0,Nandi  ,1.0,Operated,0.20000000298023224,No,,,Renting,1000.0,80000.0,No,0.0,No,,,,,,Inorganic,NA,Private stockists,506.9343015
45,Nandi,Nandi,6.0,4.0,6,Yes,1.0,1.0,Nandi  ,1.0,Operated,0.5,Yes,Title,Freehold,,,250000.0,No,0.0,No,,,,,,Inorganic,NA,Private stockists,506.9343015
46,Nairobi City,Nairobi City,7.0,1.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,4952.351158
47,Nairobi City,Nairobi City,7.0,4.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,4952.351158
48,Nairobi City,Nairobi City,7.0,2.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,4952.351158
49,Nairobi City,Nairobi City,7.0,3.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,4952.351158
50,Nairobi City,Nairobi City,8.0,1.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,1096.048811
51,Nairobi City,Nairobi City,8.0,3.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,1096.048811
52,Nairobi City,Nairobi City,8.0,5.0,4,No,,,,,,,,,,,,,,,,,,,,,,,,1096.048811
53,Nairobi City,Nairobi City,8.0,2.0,6,No,,,,,,,,,,,,,,,,,,,,,,,,1096.048811
54,Nairobi City,Nairobi City,8.0,4.0,4,No,,,,,,,,,,,,,,,,,,,,,,,,1096.048811
55,Meru,Meru,9.0,9.0,4,Yes,2.0,2.0,Meru  ,1.0,Operated,0.5,Yes,None,Freehold,,,200000.0,No,0.0,No,,,,,,None,None,,1214.491281
56,Meru,Meru,9.0,9.0,4,Yes,1.0,2.0,Meru  ,1.0,Operated,0.30000001192092896,Yes,None,Freehold,,,100000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Private stockists,1214.491281
57,Meru,Meru,9.0,6.0,5,Yes,2.0,2.0,Meru  ,1.0,Operated,1.0,No,,,Renting,2000.0,667000.0,No,0.0,No,,,,,,None,None,,1214.491281
58,Meru,Meru,9.0,7.0,9,Yes,1.0,4.0,Meru  ,1.0,Operated,0.5,No,,,Renting,2000.0,200000.0,No,0.0,No,,,,,,None,None,,1214.491281
59,Meru,Meru,9.0,1.0,4,Yes,1.0,2.0,Meru  ,1.0,Operated,0.15000000596046448,Yes,None,Freehold,,,150000.0,No,0.0,No,,,,,,None,None,,1214.491281
60,Meru,Meru,9.0,8.0,7,Yes,2.0,3.0,Meru  ,1.0,Operated,0.5,Yes,None,Freehold,,,1000000.0,No,0.0,No,,,,,,None,None,,1214.491281
61,Meru,Meru,9.0,3.0,1,Yes,2.0,2.0,Meru  ,1.0,Operated,0.5,Yes,Title,Freehold,,,300000.0,No,0.0,No,,,,,,Both,Both,Private stockists,1214.491281
62,Meru,Meru,9.0,8.0,7,Yes,1.0,3.0,Meru  ,1.0,Operated,0.5,Yes,None,Freehold,,,500000.0,No,0.0,No,,,,,,None,None,,1214.491281
63,Meru,Meru,9.0,1.0,4,Yes,2.0,2.0,Meru  ,2.0,Operated,0.3,No,,,Other (specify),,,No,0.0,No,,,,,,None,None,,1214.491281
64,Meru,Meru,9.0,7.0,9,Yes,2.0,4.0,Meru  ,1.0,Operated,0.5,Yes,None,Freehold,,,200000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Private stockists,1214.491281
65,Meru,Meru,9.0,10.0,8,Yes,1.0,2.0,Meru  ,1.0,Operated,0.5,Yes,None,Freehold,,,100000.0,No,0.0,No,,,,,,None,None,,1214.491281
66,Meru,Meru,9.0,10.0,8,Yes,2.0,2.0,Meru  ,1.0,Operated,0.5,Yes,None,Freehold,,,100000.0,No,0.0,No,,,,,,None,None,,1214.491281
67,Meru,Meru,9.0,3.0,1,Yes,1.0,2.0,Meru  ,1.0,Operated,0.5,Yes,Title,Freehold,,,300000.0,No,0.0,No,,,,,,Both,Both,Private stockists,1214.491281
68,Meru,Meru,9.0,7.0,9,Yes,4.0,4.0,Meru  ,1.0,Operated,0.5,No,,,Renting,2000.0,334000.0,No,0.0,No,,,,,,None,None,,1214.491281
69,Meru,Meru,9.0,5.0,2,Yes,1.0,1.0,Meru  ,1.0,Operated,0.5,Yes,None,Freehold,,,100000.0,No,0.0,No,,,,,,None,None,,1214.491281
70,Meru,Meru,9.0,2.0,4,Yes,1.0,1.0,Meru  ,1.0,Operated,0.30000001192092896,Yes,None,Freehold,,,200000.0,No,0.0,No,,,,,,None,None,,1214.491281
71,Meru,Meru,9.0,7.0,9,Yes,3.0,4.0,Meru  ,1.0,Operated,2.0,Yes,None,Freehold,,,1334000.0,No,0.0,Yes,River,Gravity,0.0,1250.0,0.0,Inorganic,Inorganic,Private stockists,1214.491281
72,Meru,Meru,9.0,4.0,1,Yes,1.0,1.0,Meru  ,1.0,Operated,0.5,Yes,None,Freehold,,,200000.0,No,0.0,No,,,,,,None,None,,1214.491281
73,Meru,Meru,9.0,6.0,5,Yes,1.0,2.0,Meru  ,1.0,Operated,0.5,Yes,None,Freehold,,,100000.0,No,0.0,No,,,,,,None,None,,1214.491281
74,Meru,Meru,9.0,8.0,7,Yes,3.0,3.0,Meru  ,1.0,Operated,2.0,Yes,None,Freehold,,,1334000.0,No,0.0,No,,,,,,None,None,,1214.491281
75,Meru,Meru,10.0,3.0,6,Yes,2.0,3.0,Meru  ,1.0,Operated,0.5,No,,,Other (specify),,,No,0.0,No,,,,,,None,None,,330.4942517
76,Meru,Meru,10.0,7.0,5,Yes,1.0,2.0,Meru  ,1.0,Operated,0.79,No,,,Other (specify),,,No,0.0,No,,,,,,None,None,,330.4942517
77,Meru,Meru,10.0,3.0,6,Yes,3.0,3.0,Meru  ,1.0,Operated,0.9,No,,,Other (specify),,,No,0.0,No,,,,,,None,None,,330.4942517
78,Meru,Meru,10.0,10.0,5,Yes,1.0,1.0,Meru  ,1.0,Operated,0.125,No,,,Other (specify),,,No,0.0,No,,,,,,None,Organic,Own Production,330.4942517
79,Meru,Meru,10.0,6.0,4,Yes,2.0,2.0,Meru  ,1.0,Operated,0.20000000298023224,Yes,None,Freehold,,,300000.0,No,0.0,No,,,,,,None,None,,330.4942517
80,Meru,Meru,10.0,3.0,6,Yes,1.0,3.0,Meru  ,1.0,Operated,1.7,No,,,Other (specify),,,No,0.0,No,,,,,,None,Organic,Own Production,330.4942517
81,Meru,Meru,10.0,4.0,5,Yes,1.0,2.0,Meru  ,1.0,Operated,0.30000001192092896,Yes,None,Freehold,,,1000000.0,No,0.0,No,,,,,,Organic,Organic,Own Production,330.4942517
82,Meru,Meru,10.0,6.0,4,Yes,1.0,2.0,Meru  ,1.0,Operated,0.20000000298023224,Yes,None,Freehold,,,300000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Cooperative societies/Farmers Association,330.4942517
83,Meru,Meru,10.0,8.0,3,No,,,,,,,,,,,,,,,,,,,,,,,,330.4942517
84,Meru,Meru,10.0,2.0,5,Yes,1.0,2.0,Meru  ,1.0,Operated,1.5,Yes,None,Freehold,,,2000000.0,No,0.0,No,,,,,,Organic,Organic,Other farmers,330.4942517
85,Meru,Meru,10.0,4.0,5,Yes,2.0,2.0,Meru  ,1.0,Operated,0.30000001192092896,Yes,Title,Freehold,,,300000.0,No,0.0,No,,,,,,Organic,Organic,Own Production,330.4942517
86,Meru,Meru,10.0,1.0,4,Yes,1.0,1.0,Meru  ,1.0,Operated,0.20000000298023224,Yes,None,Freehold,,,300000.0,No,0.0,No,,,,,,None,None,,330.4942517
87,Meru,Meru,10.0,7.0,5,Yes,2.0,2.0,Meru  ,1.0,Operated,1.0,No,,,Other (specify),,,No,0.0,No,,,,,,None,Inorganic,Private stockists,330.4942517
88,Meru,Meru,10.0,5.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,330.4942517
89,Meru,Meru,10.0,2.0,5,Yes,2.0,2.0,Meru  ,1.0,Operated,0.30000001192092896,Yes,None,Freehold,,,180000.0,No,0.0,No,,,,,,Organic,Organic,Other farmers,330.4942517
90,Meru,Meru,10.0,9.0,3,Yes,1.0,1.0,Meru  ,1.0,Operated,1.0,Yes,None,Freehold,,,1000000.0,No,0.0,No,,,,,,Organic,Organic,Own Production,330.4942517
91,Baringo,Baringo,11.0,6.0,10,Yes,2.0,2.0,Baringo  ,1.0,Operated,3.0,Yes,None,Freehold,,,225000.0,No,0.0,No,,,,,,Inorganic,,Private stockists,179.1228919
92,Baringo,Baringo,11.0,3.0,3,No,,,,,,,,,,,,,,,,,,,,,,,,179.1228919
93,Baringo,Baringo,11.0,7.0,8,No,,,,,,,,,,,,,,,,,,,,,,,,179.1228919
94,Baringo,Baringo,11.0,1.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,179.1228919
95,Baringo,Baringo,11.0,8.0,4,No,,,,,,,,,,,,,,,,,,,,,,,,179.1228919
96,Baringo,Baringo,11.0,5.0,9,No,,,,,,,,,,,,,,,,,,,,,,,,179.1228919
97,Baringo,Baringo,11.0,6.0,10,Yes,1.0,2.0,Baringo  ,1.0,Operated,4.5,Yes,None,Freehold,,,300000.0,No,0.0,No,,,,,,None,,,179.1228919
98,Baringo,Baringo,11.0,4.0,3,No,,,,,,,,,,,,,,,,,,,,,,,,179.1228919
99,Baringo,Baringo,11.0,2.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,179.1228919
100,Isiolo,Isiolo,12.0,8.0,6,No,,,,,,,,,,,,,,,,,,,,,,,,115.665618
101,Isiolo,Isiolo,12.0,4.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,115.665618
102,Isiolo,Isiolo,12.0,6.0,8,Yes,1.0,2.0,Isiolo  ,1.0,Operated,1.399999976158142,Yes,Share cert,Freehold,,,232000.0,No,0.0,No,,,,,,None,None,,115.665618
103,Isiolo,Isiolo,12.0,1.0,7,No,,,,,,,,,,,,,,,,,,,,,,,,115.665618
104,Isiolo,Isiolo,12.0,9.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,115.665618
105,Isiolo,Isiolo,12.0,3.0,5,No,,,,,,,,,,,,,,,,,,,,,,,,115.665618
106,Isiolo,Isiolo,12.0,2.0,7,Yes,1.0,1.0,Isiolo  ,1.0,Operated,4.005000114440918,Yes,Allotment letter,Freehold,,,1400000.0,No,0.0,No,,,,,,None,None,,115.665618
107,Isiolo,Isiolo,12.0,7.0,11,No,,,,,,,,,,,,,,,,,,,,,,,,115.665618
108,Isiolo,Isiolo,12.0,5.0,5,No,,,,,,,,,,,,,,,,,,,,,,,,115.665618
109,Isiolo,Isiolo,12.0,6.0,8,Yes,2.0,2.0,Isiolo  ,1.0,Operated,0.5,Yes,Share cert,Freehold,,,200000.0,No,0.0,No,,,,,,None,None,,115.665618
110,Vihiga,Vihiga,13.0,6.0,10,Yes,2.0,3.0,Vihiga  ,1.0,Operated,0.4000000059604645,Yes,Title,Freehold,,,320000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Private stockists,158.9181919
111,Vihiga,Vihiga,13.0,2.0,6,Yes,1.0,1.0,Vihiga  ,1.0,Operated,0.6000000238418579,Yes,None,Freehold,,,300000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Private stockists,158.9181919
112,Vihiga,Vihiga,13.0,5.0,4,No,,,,,,,,,,,,,,,,,,,,,,,,158.9181919
113,Vihiga,Vihiga,13.0,3.0,4,Yes,1.0,1.0,Vihiga  ,1.0,Operated,0.4000000059604645,Yes,None,Freehold,,,100000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Private stockists,158.9181919
114,Vihiga,Vihiga,13.0,4.0,6,Yes,1.0,1.0,Vihiga  ,1.0,Operated,1.5,Yes,None,Freehold,,,600000.0,No,0.0,No,,,,,,Organic,Organic,Own Production,158.9181919
115,Vihiga,Vihiga,13.0,6.0,10,Yes,1.0,3.0,Vihiga  ,1.0,Operated,0.20000000298023224,No,,,Renting,3000.0,250000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Private stockists,158.9181919
116,Vihiga,Vihiga,13.0,7.0,1,Yes,1.0,1.0,Vihiga  ,1.0,Operated,0.5,Yes,Title,Freehold,,,300000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Private stockists,158.9181919
117,Vihiga,Vihiga,13.0,1.0,2,Yes,1.0,1.0,Vihiga  ,1.0,Operated,0.5,Yes,None,Freehold,,,400000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Private stockists,158.9181919
118,Vihiga,Vihiga,13.0,8.0,3,Yes,1.0,1.0,Vihiga  ,1.0,Operated,1.0,Yes,Title,Freehold,,,800000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Private stockists,158.9181919
119,Vihiga,Kisumu,13.0,6.0,10,Yes,3.0,3.0,Kisumu  ,1.0,Operated,0.800000011920929,Yes,Title,Freehold,,,500000.0,No,0.0,No,,,,,,Inorganic,Inorganic,Private stockists,158.9181919
120,Kilifi,Kilifi,14.0,10.0,4,Yes,2.0,2.0,Kilifi  ,1.0,Operated,2.4700000286102295,No,,,Renting,3000.0,70000.0,No,0.0,No,,,,,,None,None,,693.7803881
121,Kilifi,Kilifi,14.0,2.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,693.7803881
122,Kilifi,Kilifi,14.0,7.0,5,Yes,1.0,1.0,Kilifi  ,2.0,Operated,1.7350000143051147,No,,,Renting,1500.0,50000.0,No,0.0,No,,,,,,None,None,,693.7803881
123,Kilifi,Kilifi,14.0,4.0,5,Yes,1.0,1.0,Kilifi  ,2.0,Operated,0.125,Yes,Allotment letter,Freehold,,,10000.0,No,0.0,No,,,,,,None,None,,693.7803881
124,Kilifi,Kilifi,14.0,10.0,4,Yes,1.0,2.0,Kilifi  ,1.0,Operated,2.4700000286102295,No,,,Renting,3000.0,70000.0,No,0.0,No,,,,,,None,None,,693.7803881
125,Kilifi,Kilifi,14.0,1.0,7,Yes,1.0,1.0,Kilifi  ,1.0,Operated,1.0,No,,,Renting,3000.0,60000.0,No,0.0,No,,,,,,Inorganic,,Government Free,693.7803881
126,Kilifi,Kilifi,14.0,3.0,6,Yes,1.0,1.0,Kilifi  ,1.0,Operated,0.4,No,,,Other (specify),,,No,0.0,No,,,,,,None,,,693.7803881
127,Kilifi,Kilifi,14.0,5.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,693.7803881
128,Kilifi,Kilifi,14.0,9.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,693.7803881
129,Kilifi,Kilifi,14.0,8.0,6,Yes,1.0,1.0,Kilifi  ,1.0,Operated,1.5,No,,,Renting,4500.0,225000.0,No,0.0,No,,,,,,Inorganic,,Government Free,693.7803881
130,Kilifi,Kilifi,14.0,6.0,3,Yes,1.0,1.0,Kilifi  ,1.0,Operated,1.0,No,,,Renting,2500.0,70000.0,No,0.0,No,,,,,,Inorganic,,Government Free,693.7803881
131,Kiambu,Kiambu,15.0,4.0,2,No,,,,,,,,,,,,,,,,,,,,,,,,806.0739103
132,Kiambu,Kiambu,15.0,5.0,4,No,,,,,,,,,,,,,,,,,,,,,,,,806.0739103
133,Kiambu,Kiambu,15.0,7.0,1,No,,,,,,,,,,,,,,,,,,,,,,,,806.0739103
134,Kiambu,Kiambu,15.0,8.0,3,No,,,,,,,,,,,,,,,,,,,,,,,,806.0739103
