,county,couty,clid,hhid,hhsize,k01,k20_in,k20_ks,weight
0,Kilifi,Kilifi,1.0,6.0,7,Yes,Labour Cost,6000.0,878.8666054
1,Kilifi,Kilifi,1.0,3.0,3,Yes,Labour Cost,2300.0,878.8666054
2,Kilifi,Kilifi,1.0,2.0,10,Yes,Labour Cost,8000.0,878.8666054
3,Kilifi,Kilifi,1.0,3.0,3,Yes,Organic Fertilizer,450.0,878.8666054
4,Kilifi,Kilifi,1.0,2.0,10,Yes,Pesticides,200.0,878.8666054
5,Kilifi,Kilifi,1.0,1.0,5,Yes,Labour Cost,8000.0,878.8666054
6,Kilifi,Kilifi,1.0,1.0,5,Yes,Pesticides,300.0,878.8666054
7,Kilifi,Kilifi,1.0,5.0,6,Yes,Labour Cost,1500.0,878.8666054
8,Kilifi,Kilifi,1.0,10.0,3,No,,,878.8666054
9,Kilifi,Kilifi,1.0,3.0,3,Yes,Pesticides,200.0,878.8666054
10,Kilifi,Kilifi,1.0,5.0,6,Yes,Tractor/Oxen Plough,2400.0,878.8666054
11,Kilifi,Kilifi,1.0,9.0,6,Yes,Organic Fertilizer,750.0,878.8666054
12,Kilifi,Kilifi,1.0,8.0,3,Yes,Labour Cost,1600.0,878.8666054
13,Kilifi,Kilifi,1.0,8.0,3,Yes,Organic Fertilizer,1000.0,878.8666054
14,Kilifi,Kilifi,1.0,9.0,6,Yes,Pesticides,150.0,878.8666054
15,Kilifi,Kilifi,1.0,7.0,3,Yes,Pesticides,300.0,878.8666054
16,Kilifi,Kilifi,1.0,7.0,3,Yes,Labour Cost,9000.0,878.8666054
17,Kilifi,Kilifi,1.0,4.0,7,Yes,Pesticides,150.0,878.8666054
18,Mandera,Mandera,2.0,7.0,2,No,,,280.2404077
19,Mandera,Mandera,2.0,3.0,6,No,,,280.2404077
20,Mandera,Mandera,2.0,5.0,5,No,,,280.2404077
21,Mandera,Mandera,2.0,6.0,4,No,,,280.2404077
22,Mandera,Mandera,2.0,1.0,2,No,,,280.2404077
23,Mandera,Mandera,2.0,2.0,1,No,,,280.2404077
24,Mandera,Mandera,2.0,4.0,1,No,,,280.2404077
25,Marsabit,Marsabit,3.0,1.0,10,No,,,31.36170695
26,Marsabit,Marsabit,3.0,2.0,10,No,,,31.36170695
27,Kiambu,Kiambu,4.0,1.0,7,No,,,2739.185706
28,Kiambu,Kiambu,4.0,8.0,5,Yes,Inorganic Fertilizer,5000.0,2739.185706
29,Kiambu,Kiambu,4.0,5.0,5,No,,,2739.185706
30,Kiambu,Kiambu,4.0,4.0,1,No,,,2739.185706
31,Kiambu,Kiambu,4.0,8.0,5,Yes,Labour Cost,2000.0,2739.185706
32,Kiambu,Kiambu,4.0,7.0,3,No,,,2739.185706
33,Kiambu,Kiambu,4.0,3.0,6,No,,,2739.185706
34,Kiambu,Kiambu,4.0,2.0,2,No,,,2739.185706
35,Kiambu,Kiambu,4.0,6.0,2,No,,,2739.185706
36,Nakuru,Nakuru,5.0,6.0,5,No,,,1895.151331
37,Nakuru,Nakuru,5.0,3.0,1,No,,,1895.151331
38,Nakuru,Nakuru,5.0,5.0,4,No,,,1895.151331
39,Nakuru,Nakuru,5.0,2.0,4,No,,,1895.151331
40,Nakuru,Nakuru,5.0,1.0,4,No,,,1895.151331
41,Nakuru,Nakuru,5.0,4.0,4,Yes,Inorganic Fertilizer,20000.0,1895.151331
42,Nakuru,Nakuru,5.0,4.0,4,Yes,Labour Cost,30000.0,1895.151331
43,Nakuru,Nakuru,5.0,4.0,4,Yes,Hire of Machinery,30000.0,1895.151331
44,Nakuru,Nakuru,5.0,4.0,4,Yes,Pesticides,4000.0,1895.151331
45,Nandi,Nandi,6.0,2.0,1,Yes,Labour Cost,1250.0,506.9343015
46,Nandi,Nandi,6.0,9.0,6,Yes,Labour Cost,5200.0,506.9343015
47,Nandi,Nandi,6.0,2.0,1,Yes,Herbicides,1000.0,506.9343015
48,Nandi,Nandi,6.0,10.0,5,Yes,Inorganic Fertilizer,300.0,506.9343015
49,Nandi,Nandi,6.0,8.0,7,Yes,Inorganic Fertilizer,2500.0,506.9343015
50,Nandi,Nandi,6.0,9.0,6,Yes,Inorganic Fertilizer,2500.0,506.9343015
51,Nandi,Nandi,6.0,10.0,5,Yes,Herbicides,1200.0,506.9343015
52,Nandi,Nandi,6.0,3.0,1,No,,,506.9343015
53,Nandi,Nandi,6.0,1.0,1,Yes,Herbicides,600.0,506.9343015
54,Nandi,Nandi,6.0,1.0,1,Yes,Labour Cost,2400.0,506.9343015
55,Nandi,Nandi,6.0,9.0,6,Yes,Herbicides,1300.0,506.9343015
56,Nandi,Nandi,6.0,1.0,1,Yes,Inorganic Fertilizer,3000.0,506.9343015
57,Nandi,Nandi,6.0,2.0,1,Yes,Inorganic Fertilizer,700.0,506.9343015
58,Nandi,Nandi,6.0,4.0,6,Yes,Inorganic Fertilizer,2500.0,506.9343015
59,Nandi,Nandi,6.0,5.0,3,Yes,Pesticides,400.0,506.9343015
60,Nandi,Nandi,6.0,7.0,4,Yes,Hire of Machinery,500.0,506.9343015
